第 1 名,《阿凡达》Avatar,2009,科幻/动作,詹姆斯·卡梅隆,2847246203$
第 2 名,《复仇者联盟4：终局之战》Avengers: Endgame,2019,科幻/动作,安东尼·罗素、乔·罗素,2797501328$
第 3 名,《泰坦尼克号》Titanic,1997,灾难/爱情,詹姆斯·卡梅隆,2201647264$
第 4 名,《星球大战：原力觉醒》Star Wars: The Force Awakens,2015,科幻/动作,J·J·艾布拉姆斯,2069521700$
第 5 名,《复仇者联盟3：无限战争》Avengers: Infinity War,2018,科幻/动作,安东尼·罗素、乔·罗素,2048359754$
第 6 名,《蜘蛛侠：英雄无归》Spider-Man: No Way Home,2021,科幻/动作,乔·沃茨,1811655686$
第 7 名,《侏罗纪世界》Jurassic World,2015,科幻/冒险,科林·特雷沃罗,1670516444$
第 8 名,《狮子王》The Lion King,2019,动画/冒险,乔恩·费儒,1662899439$
第 9 名,《复仇者联盟》Marvel's The Avengers,2012,科幻/动作,乔斯·韦登,1518815515$
第 10 名,《速度与激情7》Furious 7,2015,动作/犯罪,温子仁,1515341399$
第 11 名,《冰雪奇缘2》Frozen II,2019,动画/奇幻,克里斯·巴克、珍妮弗·李,1450026933$
第 12 名,《复仇者联盟2：奥创纪元》Avengers: Age of Ultron,2015,科幻/动作,乔斯·韦登,1402809540$
第 13 名,《黑豹》Black Panther,2018,科幻/动作,瑞恩·库格勒,1347597973$
第 14 名,《哈利·波特与死亡圣器（下）》Harry Potter and the Deathly Hallows Part 2,2011,奇幻/冒险,大卫·叶茨,1342321665$
第 15 名,《星球大战8：最后的绝地武士》Star Wars: Episode VIII - The Last Jedi,2017,科幻/动作,莱恩·约翰逊,1332698830$
第 16 名,《侏罗纪世界2》Jurassic World:Fallen Kingdom,2018,科幻/冒险,胡安·安东尼奥·巴亚纳,1310466296$
第 17 名,《冰雪奇缘》Frozen,2013,动画/奇幻,克里斯·巴克、珍妮弗·李,1281508100$
第 18 名,《美女与野兽》Beauty and the Beast,2017,奇幻/冒险,比尔·康顿,1273576220$
第 19 名,《超人总动员2》Incredibles 2,2018,动画/喜剧,布拉德·伯德,1243089244$
第 20 名,《速度与激情8》The Fate of the Furious,2017,动作/冒险,F·加里·格雷,1236005118$
第 21 名,《钢铁侠3》Iron Man 3,2013,科幻/动作,沙恩·布莱克,1214811252$
第 22 名,《小黄人大眼萌》Minions,2015,动画/喜剧,皮埃尔·柯芬、凯尔·巴尔达,1159444662$
第 23 名,《美国队长3：英雄内战》Captain America: Civil War,2016,动作/科幻,安东尼·罗素、乔·罗素,1153337496$
第 24 名,《海王》Aquaman,2018,科幻/动作,温子仁,1148485886$
第 25 名,《指环王3：王者归来》The Lord of the Rings: The Return of the King,2003,奇幻/动作,彼得·杰克逊,1146030912$
第 26 名,《蜘蛛侠：英雄远征》Spider-Man: Far from Home,2019,科幻/动作,乔·沃茨,1131927996$
第 27 名,《惊奇队长》Captain Marvel,2019,科幻/动作,安娜·波顿、瑞安·弗雷克,1128462972$
第 28 名,《变形金刚3：月黑之时》Transformers: Dark of the Moon,2011,科幻/动作,迈克尔·贝,1123794079$
第 29 名,《007：大破天幕杀机》Skyfall,2012,动作/枪战,萨姆·门德斯,1108569499$
第 30 名,《变形金刚4：绝迹重生》Transformers: Age of Extinction,2014,科幻/动作,迈克尔·贝,1104054072$
第 31 名,《蝙蝠侠：黑暗骑士崛起》The Dark Knight Rises,2012,动作/惊悚,克里斯托弗·诺兰,1081142612$
第 32 名,《小丑》Joker,2019,犯罪/惊悚,托德·菲利普斯,1074419384$
第 33 名,《星球大战9：天行者崛起》Star Wars: Episode IX - The Rise of Skywalker,2019,科幻/动作,J·J·艾布拉姆斯,1074149279$
第 34 名,《玩具总动员4》Toy Story 4,2019,动画/喜剧,乔什·库雷,1073394593$
第 35 名,《玩具总动员3》Toy Story 3,2010,动画/喜剧,李·昂克里奇,1066970811$
第 36 名,《加勒比海盗2：聚魂棺》Pirates of the Caribbean: Dead Man's Chest,2006,奇幻/冒险,戈尔·维宾斯基,1066179747$
第 37 名,《狮子王》The Lion King,1994,动画/冒险,罗杰·阿勒斯、罗伯·明科夫,1063611805$
第 38 名,《星球大战外传：侠盗一号》Rogue One: A Star Wars Story,2016,科幻/动作,加里斯·爱德华斯,1056057720$
第 39 名,《阿拉丁》Aladdin,2019,奇幻/冒险,盖·瑞奇,1050693953$
第 40 名,《加勒比海盗4：惊涛怪浪》Pirates of the Caribbean: On Stranger Tides,2011,奇幻/冒险,罗伯·马歇尔,1045713802$
第 41 名,《神偷奶爸3》Despicable Me 3,2017,动画/喜剧,凯尔·巴尔达、皮埃尔·柯芬,1034800131$
第 42 名,《侏罗纪公园》Jurassic Park,1993,科幻/冒险,史蒂文·斯皮尔伯格,1033928303$
第 43 名,《海底总动员2：多莉去哪儿》Finding Dory,2016,动画/喜剧,安德鲁·斯坦顿、安格斯·麦克莱恩,1028570942$
第 44 名,《星球大战前传1：幽灵的威胁》Star Wars: Episode I - The Phantom Menace,1999,科幻/战争,乔治·卢卡斯,1027082707$
第 45 名,《爱丽丝梦游仙境》Alice in Wonderland,2010,奇幻/冒险,蒂姆·波顿,1025468216$
第 46 名,《疯狂动物城》Zootopia,2016,动画/喜剧,拜恩·霍华德、瑞奇·摩尔、杰拉德·布什,1024121104$
第 47 名,《哈利·波特与魔法石》Harry Potter and the Sorcerer's Stone,2001,奇幻/冒险,克里斯·哥伦布,1017662278$
第 48 名,《霍比特人1：意外之旅》The Hobbit: An Unexpected Journey,2012,奇幻/冒险,彼得·杰克逊,1017003568$
第 49 名,《蝙蝠侠：黑暗骑士》The Dark Knight,2008,动作/冒险,克里斯托弗·诺兰,1005973645$
第 50 名,《哈利·波特与死亡圣器（上）》Harry Potter and the Deathly Hallows Part 1,2010,奇幻/冒险,大卫·叶茨,977043483$
第 51 名,《神偷奶爸2》Despicable Me 2,2013,动画/喜剧,皮艾尔·柯芬、克里斯·雷纳德,970766005$
第 52 名,《奇幻森林》The Jungle Book,2016,奇幻/冒险,乔恩·费儒,966554929$
第 53 名,《勇敢者游戏：决战丛林》Jumanji: Welcome to the Jungle,2017,科幻/冒险,杰克·卡斯丹,962542945$
第 54 名,《霍比特人3：五军之战》The Hobbit: The Battle of the Five Armies,2014,奇幻/战争,彼得·杰克逊,962182865$
第 55 名,《加勒比海盗3：世界的尽头》Pirates of the Caribbean: At World's End,2007,奇幻/冒险,戈尔·弗宾斯盖,960996492$
第 56 名,《霍比特人2：史矛革之战》The Hobbit: The Desolation of Smaug,2013,奇幻/冒险,彼得·杰克逊,959007513$
第 57 名,《指环王2：双塔奇兵》The Lord of the Rings: The Two Towers,2002,奇幻/战争,彼得·杰克逊,947495095$
第 58 名,《哈利·波特与凤凰社》Harry Potter and the Order of the Phoenix,2007,奇幻/冒险,大卫·叶茨,942172396$
第 59 名,《海底总动员》Finding Nemo,2003,动画/冒险,安德鲁·斯坦顿、李·昂克里奇,940352645$
第 60 名,《哈利·波特与混血王子》Harry Potter and the Half-Blood Prince,2009,奇幻/冒险,大卫·叶茨,934454096$
第 61 名,《怪物史瑞克2》Shrek 2,2004,动画/冒险,安德鲁·亚当森、凯利·阿斯博瑞、康拉德·弗农,928760770$
第 62 名,《波西米亚狂想曲》Bohemian Rhapsody,2018,音乐/传记,布莱恩·辛格,910809311$
第 63 名,《长津湖》The Battle at Lake Changjin,2021,战争,陈凯歌、徐克、林超贤,902540935$
第 64 名,《指环王1：魔戒再现》The Lord of the Rings: The Fellowship of the Ring,2001,奇幻/冒险,彼得·杰克逊,898094742$
第 65 名,《哈利·波特与火焰杯》Harry Potter and the Goblet of Fire,2005,奇幻/冒险,迈克·纽维,896678241$
第 66 名,《蜘蛛侠3》Spider-Man 3,2007,科幻/动作,山姆·雷米,894983373$
第 67 名,《冰川时代3：恐龙的黎明》Ice Age: Dawn of the Dinosaurs,2009,动画/冒险,卡洛斯·沙尔丹哈,886686817$
第 68 名,《007：幽灵党》Spectre,2015,动作/枪战,萨姆·门德斯,880681519$
第 69 名,《蜘蛛侠：英雄归来》Spider-Man: Homecoming,2017,科幻/动作,乔·沃茨,880166924$
第 70 名,《哈利·波特与密室》Harry Potter and the Chamber of Secrets,2002,奇幻/冒险,克里斯·哥伦布,879602366$
第 71 名,《冰川时代4：大陆漂移》Ice Age: Continental Drift,2012,动画/冒险,麦克·特米尔,877244782$
第 72 名,《爱宠大机密》The Secret Life of Pets,2016,动画/喜剧,亚罗·切尼、克里斯·雷纳德,875458631$
第 73 名,《蝙蝠侠大战超人：正义黎明》Batman v Superman: Dawn of Justice,2016,科幻/动作,扎克·施奈德,873637528$
第 74 名,《战狼2》Wolf Warrior 2,2017,动作/军事,吴京,870325439$
第 75 名,《星球大战前传3：西斯的复仇》Star Wars: Episode III - Revenge of the Sith,2005,科幻/战争,乔治·卢卡斯,868390560$
第 76 名,《饥饿游戏2：星火燎原》The Hunger Games: Catching Fire,2013,动作/科幻,弗朗西斯·劳伦斯,865011746$
第 77 名,《银河护卫队2》Guardians of the Galaxy Vol. 2,2017,科幻/动作,詹姆斯·古恩,863756051$
第 78 名,《头脑特工队》Inside Out,2015,动画/喜剧,彼特·道格特、罗纳尔多·德尔·卡门,858848019$
第 79 名,《毒液：致命守护者》Venom,2018,科幻/动作,鲁本·弗雷斯彻,856085151$
第 80 名,《雷神3：诸神黄昏》Thor: Ragnarok,2017,奇幻/动作,塔伊加·维迪提,853983911$
第 81 名,《盗梦空间》Inception,2010,科幻/惊悚,克里斯托弗·诺兰,836836967$
第 82 名,《变形金刚2：卷土重来》Transformers: Revenge of the Fallen,2009,科幻/动作,迈克尔·贝,836303693$
第 83 名,《暮光之城4：破晓（下）》The Twilight Saga: Breaking Dawn Part 2,2012,奇幻/爱情,比尔·康顿,829747654$
第 84 名,《蜘蛛侠》Spider-Man,2002,科幻/动作,山姆·雷米,825025036$
第 85 名,《神奇女侠》Wonder Woman,2017,奇幻/动作,派蒂·杰金斯,822824522$
第 86 名,《你好，李焕英》Hi Mom,2021,亲情/奇幻,贾玲,822009764$
第 87 名,《独立日》Independence Day,1996,科幻/战争,罗兰·艾默里奇,817400891$
第 88 名,《神奇动物在哪里》Fantastic Beasts and Where To Find Them,2016,奇幻/冒险,大卫·叶茨,814044001$
第 89 名,《怪物史瑞克3》Shrek the Third,2007,动画/冒险,许诚毅、克里斯·米勒,813367380$
第 90 名,《寻梦环游记》Coco,2017,动画/冒险,李·昂克里奇、阿德里安·莫利纳,807817888$
第 91 名,《勇敢者游戏2：再战巅峰》Jumanji: The Next Level,2019,科幻/冒险,杰克·卡斯丹,800059707$
第 92 名,《哈利·波特与阿兹卡班的囚徒》Harry Potter and the Prisoner of Azkaban,2004,奇幻/冒险,阿方索·卡隆,797361618$
第 93 名,《加勒比海盗5：死无对证》Pirates of the Caribbean:Dead Men Tell No Tales,2017,奇幻/冒险,乔阿吉姆·罗恩尼、艾斯彭·山德伯格,794881442$
第 94 名,《E.T.外星人》E.T.: The Extra-Terrestrial,1982,科幻/家庭,史蒂文·斯皮尔伯格,792910554$
第 95 名,《碟中谍6：全面瓦解》Mission: Impossible - Fallout,2018,动作/冒险,克里斯托弗·麦奎里,791657398$
第 96 名,《2012》2012,2009,灾难/冒险,罗兰·艾默里奇,791217826$
第 97 名,《夺宝奇兵4》Indiana Jones and the Kingdom of the Crystal Skull,2008,动作/冒险,史蒂文·斯皮尔伯格,790653942$
第 98 名,《蜘蛛侠2》Spider-Man 2,2004,科幻/动作,山姆·雷米,788976453$
第 99 名,《速度与激情6》Fast & Furious 6,2013,动作/犯罪,林诣彬,788680968$
第 100 名,《死侍2》Deadpool 2,2018,动作/奇幻,大卫·雷奇,785896609$
